Player,Score Vector,Predicted Price,Role,Foreigner
Shahbaz Nadeem,475,5.5,Bowler,0
Ashish Nehra,425,5.5,Bowler,0
Dan Christian,475,5.5,Bowler,1
Kartik Tyagi,346,5.5,Bowler,0
Varun Aaron,371,5.5,Bowler,0
Sreenath Aravind,400,5.5,Bowler,0
Pawan Negi,521,5.5,Bowler,0
Barinder Sran,446,5.5,Bowler,0
Daniel Sams,364,5.5,Bowler,1
Chetan Sakariya,429,5.5,Bowler,0
Ankit Rajpoot,591,5.5,Bowler,0
Ishant Sharma,425,5.5,Bowler,0
Adam Zampa,549,5.5,Bowler,0
Karn Sharma,581,5.5,Bowler,0
Krishnappa Gowtham,450,5.5,Bowler,0
Tim David,263,5,Batsman,1
Colin Munro,243,5,Batsman,1
Naman Ojha,250,5,Batsman,0
K.S Bharat,249,5,Batsman,0
Dewald Brevis,230,5,Batsman,1
Colin Ingram,243,5,Batsman,1
Isuru Udana,196,5,Bowler,1
Lendl Simmons,216,5,Batsman,1
Romario Shepherd,85,5,Batsman,1
Abhinav Manohar,153,5,Batsman,0
Sherfane Rutherford,132,5,Batsman,0
Anuj Rawat,172,5,Batsman,0
D'Arcy Short,156,5,Batsman,1
Alex Hales,196,5,Batsman,1
Sai Sudharsan,196,5,Batsman,0
Sachin Baby,170,5,Batsman,0
Tom Banton,15,5,Batsman,1
B Indrajith,17,5,Batsman,0
Shahrukh Khan,357,5,Batsman,0
Jason Roy,462,5,Batsman,1
Devon Conway,370,5,Batsman,1
Murali Vijay,763,5,Batsman,0
Vishnu Vinod,16,5,Batsman,0
Prayas Ray Barman,15,5,Batsman,0
Mahipal Lomror,348,5,Batsman,0
Usman Khawaja,168,5,Batsman,1
Travis Head,271,5,Batsman,1
Rinku Singh,328,5,Batsman,0
Stuart Binny,338,5,Batsman,0
Jitesh Sharma,326,5,Batsman,0
Priyam Garg,322,5,Batsman,0
Abdul Samad,296,5,Batsman,0
Martin Guptill,381,5,Batsman,1
Gurkeerat Mann Singh,381,5,Batsman,0
Ayush Badoni,218,5,Batsman,0
Nikhil Naik,27,5,Batsman,0
Heinrich Klaasen,75,5,Batsman,1
Marlon Samuels,29,5,Batsman,1
Farhaan Behardien,14,5,Batsman,1
Aman Khan,19,5,Batsman,0
Dawid Malan,23,5,Batsman,1
Siddhesh Lad,24,5,Batsman,0
Aditya Tare,26,5,Batsman,0
Tim Seifert,26,5,Batsman,1
Daryl Mitchell,27,5,Batsman,1
Prashant Chopra,20,5,Batsman,0
Suyash S Prabhudessai,91,5,Batsman,0
Anmolpreet Singh,34,5,Batsman,0
Darren Bravo,12,5,Batsman,1
Irfan Pathan,5,5,Batsman,0
Rajangad Bawa,5,5,Batsman,0
Ankit Bawne,6,5,Batsman,0
Dhruv Shorey,8,5,Batsman,0
Virat Singh,9,5,Batsman,0
David Wiese,9,5,Batsman,1
Simran Singh,22,5,Batsman,0
Ishank Jaggi,31,5,Batsman,0
Eklavya Dwivedi,46,5,Batsman,0
Srikar Bharat,16,5,Batsman,0
Ankit Sharma,43,5,Batsman,0
Jagadeesan Narayan,45,5,Batsman,0
Rasikh Salam,18,5,Batsman,0
Rassie van der Dussen,18,5,Batsman,1
Ashish Reddy,75,5,Batsman,0
Kevin Pietersen,94,5,Batsman,1
Akshdeep Nath,102,5,Batsman,0
Josh Philippe,95,5,Batsman,1
George Bailey,100,5,Batsman,1
Sheldon Jackson,70,5,Batsman,0
Sean Abbott,18,5,Batsman,1
Ripal Patel,48,5,Batsman,0
Alex Carey,39,5,Batsman,1
James Neesham,41,5,Batsman,1
Rajagopal Sathish,21,5,Batsman,0
Angelo Mathews,43,5,Batsman,1
Glenn Phillips,26,5,Batsman,1
Shashank Singh,99,5,Batsman,0
Shreevats Goswami,59,5,Batsman,0
Narayan Jagadeesan,45,5,Batsman,0
Prabhsimran Singh,56,5,Batsman,0
JP Duminy,267,5,Batsman,1
Ben Cutting,326,5,Batsman,1
Corey Anderson,197,5,Batsman,1
Rovman Powell,354,5,Batsman,1
Kane Richardson,196,5,Bowler,1
Kamlesh Nagarkoti,125,5,Bowler,0
Bipul Sharma,150,5,Bowler,0
Tymal Mills,271,5,Bowler,1
Alzarri Joseph,341,5,Bowler,1
Harpreet Brar,229,5,Bowler,0
Rishi Dhawan,200,5,Bowler,0
Thisara Perera,221,5,Bowler,1
Tom Curran,317,5,Bowler,1
